character,expression,normalized_expression,type,count,contexts,timestamps,confidence,source_bv
UNKNOWN,灯,灯,word,32,"[""即便是面对灯爱音也"", ""高松灯，察"", ""高松灯，察觉到了异常！毕""]","[""00:04:35.000"", ""00:04:40.000"", ""00:05:21.000"", ""00:05:22.000"", ""00:05:23.000""]",low,BV1C7YjzDEvr
UNKNOWN,她,她,word,31,"[""她"", ""她还和我挥手了！以前只觉得Anon同学只有可爱的一面，这次真"", ""她还和我挥手了！以前只觉得Anon同学只有可爱的一面，这次真的刷新我对她的""]","[""00:04:16.000"", ""00:04:20.000"", ""00:04:21.000"", ""00:04:21.000"", ""00:05:24.000""]",low,BV1C7YjzDEvr
UNKNOWN,人,人,word,30,"[""高松灯，察觉到了异常！毕竟上一个这样对待她的人早就把"", ""高松灯，察觉到了异常！毕竟上一个这样对待她的人早就把乐队给炸了"", ""平时无话不谈的两人今天居然没有说过几句话，一边是由于担心面瘫而不能说多少话的""]","[""00:05:24.000"", ""00:05:27.000"", ""00:05:28.000"", ""00:06:43.000"", ""00:07:09.000""]",low,BV1C7YjzDEvr
UNKNOWN,对,对,word,30,"[""爱音失落的从镜子边离开。如果今天是休息日，这对爱音来说是没什么，简单待在家里不出去就可以了，但是今天是上学"", ""搞得爱音下意识从包里拿出一面小镜子对着自己的脸仔细检查，生怕真的有什么号"", ""她还和我挥手了！以前只觉得Anon同学只有可爱的一面，这次真的刷新我对她的""]","[""00:01:55.000"", ""00:02:30.000"", ""00:04:21.000"", ""00:04:35.000"", ""00:04:40.000""]",low,BV1C7YjzDEvr
UNKNOWN,什么,什么,phrase_2char,28,"[""爱音失落的从镜子边离开。如果今天是休息日，这对爱音来说是没什么，简单待在家里不出去就可以了，但是今天是上学"", ""搞得爱音下意识从包里拿出一面小镜子对着自己的脸仔细检查，生怕真的有什么号"", ""不知道为什么一路上的""]","[""00:01:55.000"", ""00:02:30.000"", ""00:03:36.000"", ""00:03:37.000"", ""00:03:39.000""]",low,BV1C7YjzDEvr
UNKNOWN,自己,自己,phrase_2char,28,"[""并不是说爱音自己开"", ""爱音站在镜子面前看着只能用手强撑出来笑容的自己，爱音叹了"", ""爱音站在镜子面前看着只能用手强撑出来笑容的自己，爱音叹了口气，微微张开的""]","[""00:00:45.000"", ""00:01:30.000"", ""00:01:31.000"", ""00:02:15.000"", ""00:02:30.000""]",low,BV1C7YjzDEvr
UNKNOWN,什,什,word,28,"[""爱音失落的从镜子边离开。如果今天是休息日，这对爱音来说是没什么，简单待在家里不出去就可以了，但是今天是上学"", ""搞得爱音下意识从包里拿出一面小镜子对着自己的脸仔细检查，生怕真的有什么号"", ""不知道为什么一路上的""]","[""00:01:55.000"", ""00:02:30.000"", ""00:03:36.000"", ""00:03:37.000"", ""00:03:39.000""]",low,BV1C7YjzDEvr
UNKNOWN,己,己,word,28,"[""并不是说爱音自己开"", ""爱音站在镜子面前看着只能用手强撑出来笑容的自己，爱音叹了"", ""爱音站在镜子面前看着只能用手强撑出来笑容的自己，爱音叹了口气，微微张开的""]","[""00:00:45.000"", ""00:01:30.000"", ""00:01:31.000"", ""00:02:15.000"", ""00:02:30.000""]",low,BV1C7YjzDEvr
UNKNOWN,觉,觉,word,28,"[""结果就是爱音看了大量的搞笑视频，甚至不知不觉就睡"", ""结果就是爱音看了大量的搞笑视频，甚至不知不觉就睡着了"", ""她还和我挥手了！以前只觉得Anon同学只有可爱的一面，这次真""]","[""00:01:05.000"", ""00:01:10.000"", ""00:04:20.000"", ""00:04:21.000"", ""00:05:22.000""]",low,BV1C7YjzDEvr
UNKNOWN,起,起,word,28,"[""结果就是早上起床的"", ""结果就是早上起床的时候脸僵掉了，"", ""结果就是早上起床的时候脸僵掉了，，至少目前爱音是笑不出来了""]","[""00:01:12.000"", ""00:01:13.000"", ""00:01:14.000"", ""00:01:15.000"", ""00:02:58.000""]",low,BV1C7YjzDEvr
UNKNOWN,没有,没有,phrase_2char,27,"[""没有呢"", ""爱音还以为电车里面有虫子搞得那几个女生吓成这样子，也就没有在意其实都是"", ""爱音还以为电车里面有虫子搞得那几个女生吓成这样子，也就没有在意其实都是因自己而起。""]","[""00:02:40.000"", ""00:02:54.000"", ""00:02:56.000"", ""00:02:58.000"", ""00:03:17.000""]",low,BV1C7YjzDEvr
UNKNOWN,为,为,word,27,"[""本视频为LOFTER"", ""爱音还以为电车里面有虫子搞得那几个女生吓成这样子，也就没有在意其实都是"", ""爱音还以为电车里面有虫子搞得那几个女生吓成这样子，也就没有在意其实都是因自己而起。""]","[""00:00:01.000"", ""00:02:54.000"", ""00:02:56.000"", ""00:02:58.000"", ""00:03:36.000""]",low,BV1C7YjzDEvr
UNKNOWN,说,说,word,27,"[""并不是说爱音自己开"", ""爱音失落的从镜子边离开。如果今天是休息日，这对爱音来说是没什么，简单待在家里不出去就可以了，但是今天是上学"", ""但是此刻的爱音又不可能笑着上去打招呼，面瘫别说是笑这一动作了，开口说话""]","[""00:00:45.000"", ""00:01:55.000"", ""00:03:27.000"", ""00:03:27.000"", ""00:05:50.000""]",low,BV1C7YjzDEvr
UNKNOWN,还,还,word,27,"[""爱音还以为电车里面有虫子搞得那几个女生吓成这样子，也就没有在意其实都是"", ""爱音还以为电车里面有虫子搞得那几个女生吓成这样子，也就没有在意其实都是因自己而起。"", ""她还和我挥手了！以前只觉得Anon同学只有可爱的一面，这次真""]","[""00:02:54.000"", ""00:02:56.000"", ""00:02:58.000"", ""00:04:20.000"", ""00:04:21.000""]",low,BV1C7YjzDEvr
UNKNOWN,着,着,word,26,"[""结果就是爱音看了大量的搞笑视频，甚至不知不觉就睡着了"", ""爱音站在镜子面前看着只能用手"", ""爱音站在镜子面前看着只能用手强撑出来笑容的""]","[""00:01:10.000"", ""00:01:28.000"", ""00:01:29.000"", ""00:01:30.000"", ""00:01:31.000""]",low,BV1C7YjzDEvr
UNKNOWN,也,也,word,25,"[""爱音还以为电车里面有虫子搞得那几个女生吓成这样子，也就没有在意其实都是"", ""爱音还以为电车里面有虫子搞得那几个女生吓成这样子，也就没有在意其实都是因自己而起。"", ""不知道为什么一路上的女学生都非常热情的和爱音打招呼，但是鉴于现在的状态爱音也只能大老远挥一挥""]","[""00:02:54.000"", ""00:02:56.000"", ""00:02:58.000"", ""00:03:41.000"", ""00:04:35.000""]",low,BV1C7YjzDEvr
UNKNOWN,只,只,word,25,"[""爱音站在镜子面前看着只能用手"", ""爱音站在镜子面前看着只能用手强撑出来笑容的"", ""爱音站在镜子面前看着只能用手强撑出来笑容的自己，爱音叹了""]","[""00:01:28.000"", ""00:01:29.000"", ""00:01:30.000"", ""00:01:31.000"", ""00:03:41.000""]",low,BV1C7YjzDEvr
UNKNOWN,天,天,word,24,"[""爱音失落的从镜子边离开。如果今天是休息日，这对爱音来说是没什么，简单待在家里不出去就可以了，但是今天是上学"", ""平时无话不谈的两人今天居然没有说过几句话，一边是由于担心面瘫而不能说多少话的"", ""或许是被爱音简短的打招呼给吓到了，又或许是被爱音的冷面给吓到了，又或者是被今天没有喊“Ri""]","[""00:01:55.000"", ""00:01:55.000"", ""00:06:43.000"", ""00:08:04.000"", ""00:08:07.000""]",low,BV1C7YjzDEvr
UNKNOWN,早,早,word,24,"[""在一个平凡的不能再平凡的一个早晨，一切都如同往常一般，但有个东西却不像往常了"", ""千早爱音"", ""结果就是早上起床的""]","[""00:00:32.000"", ""00:00:34.000"", ""00:00:35.000"", ""00:00:40.000"", ""00:00:41.000""]",low,BV1C7YjzDEvr
UNKNOWN,个,个,word,23,"[""在一个平凡的不能再平凡的一个早晨，一切都如同往常一般，但有个东西却不像往常了"", ""爱音还以为电车里面有虫子搞得那几个女生吓成这样子，也就没有在意其实都是"", ""爱音还以为电车里面有虫子搞得那几个女生吓成这样子，也就没有在意其实都是因自己而起。""]","[""00:00:32.000"", ""00:00:32.000"", ""00:00:32.000"", ""00:00:34.000"", ""00:00:34.000""]",low,BV1C7YjzDEvr
UNKNOWN,以,以,word,23,"[""以上。"", ""爱音失落的从镜子边离开。如果今天是休息日，这对爱音来说是没什么，简单待在家里不出去就可以了，但是今天是上学"", ""爱音还以为电车里面有虫子搞得那几个女生吓成这样子，也就没有在意其实都是""]","[""00:00:22.000"", ""00:01:55.000"", ""00:02:54.000"", ""00:02:56.000"", ""00:02:58.000""]",low,BV1C7YjzDEvr
UNKNOWN,常,常,word,23,"[""在一个平凡的不能再平凡的一个早晨，一切都如同往常一般，但有个东西却不像往常了"", ""不知道为什么一路上的女学生都非常热"", ""不知道为什么一路上的女学生都非常热情的和爱音打招呼，但是鉴于现在""]","[""00:00:32.000"", ""00:00:32.000"", ""00:00:34.000"", ""00:00:34.000"", ""00:00:35.000""]",low,BV1C7YjzDEvr
UNKNOWN,的爱,的爱,phrase_2char,22,"[""即便是下了电车，这一路上的目光丝毫没有减少，哪怕是平时之前活泼开朗的爱音"", ""但是此刻的爱"", ""但是此刻的爱音又不可能笑着上去打招呼，面瘫别说是笑这一动作了，开口说话""]","[""00:03:18.000"", ""00:03:23.000"", ""00:03:27.000"", ""00:04:01.000"", ""00:04:50.000""]",low,BV1C7YjzDEvr
UNKNOWN,突然,突然,phrase_2char,22,"[""起初看到板着脸的爱音乐奈也吓了一跳，但是和爱音对上眼神之后突然就理解了"", ""起初看到板着脸的爱音乐奈也吓了一跳，但是和爱音对上眼神之后突然就理解了情况，但她不想戳穿，因为她也"", ""其实早在放学看群聊里面突然开live组织排练以及爱音今天一句话没""]","[""00:09:04.000"", ""00:09:06.000"", ""00:09:39.000"", ""00:09:41.000"", ""00:09:42.000""]",low,BV1C7YjzDEvr
UNKNOWN,突,突,word,22,"[""起初看到板着脸的爱音乐奈也吓了一跳，但是和爱音对上眼神之后突然就理解了"", ""起初看到板着脸的爱音乐奈也吓了一跳，但是和爱音对上眼神之后突然就理解了情况，但她不想戳穿，因为她也"", ""其实早在放学看群聊里面突然开live组织排练以及爱音今天一句话没""]","[""00:09:04.000"", ""00:09:06.000"", ""00:09:39.000"", ""00:09:41.000"", ""00:09:42.000""]",low,BV1C7YjzDEvr
UNKNOWN,此刻,此刻,phrase_2char,21,"[""但是此刻的爱"", ""但是此刻的爱音又不可能笑着上去打招呼，面瘫别说是笑这一动作了，开口说话"", ""此刻这临时的面""]","[""00:03:23.000"", ""00:03:27.000"", ""00:12:26.000"", ""00:12:27.000"", ""00:12:29.000""]",low,BV1C7YjzDEvr
UNKNOWN,的爱音,的爱音,phrase_3char,21,"[""即便是下了电车，这一路上的目光丝毫没有减少，哪怕是平时之前活泼开朗的爱音"", ""但是此刻的爱音又不可能笑着上去打招呼，面瘫别说是笑这一动作了，开口说话"", ""简单打完招呼的爱音重新冷着脸走进教学楼，只剩下在外面心花路放的几""]","[""00:03:18.000"", ""00:03:27.000"", ""00:04:01.000"", ""00:04:50.000"", ""00:04:51.000""]",low,BV1C7YjzDEvr
