character,expression,normalized_expression,type,count,contexts,timestamps,confidence,source_bv
UNKNOWN,得稀,得稀,phrase_2char,3,"[""绘里坐在哭得稀里哗啦的同学周围，全程面无表"", ""绘里坐在哭得稀里哗啦的同学周围，全程面无表情。她的脸上什么都看不出来，因为她和爱音一直保持"", ""绘里坐在哭得稀里哗啦的同学周围，全程面无表情。她的脸上什么都看不出来，因为她和爱音一直保持着不咸不淡的关系。""]","[""00:03:12.000"", ""00:03:13.000"", ""00:03:15.000""]",low,BV1SZJP6mEjy
UNKNOWN,得这,得这,phrase_2char,3,"[""祥子觉得这种态度比正面挑鲜更让人生气。直到"", ""祥子觉得这种态度比正面挑鲜更让人生气。直到爱音离世时，祥子才意识到对方已经变成了用来提醒自己的榜"", ""祥子觉得这种态度比正面挑鲜更让人生气。直到爱音离世时，祥子才意识到对方已经变成了用来提醒自己的榜样。""]","[""00:01:39.000"", ""00:01:40.000"", ""00:01:41.000""]",low,BV1SZJP6mEjy
UNKNOWN,忘了,忘了,phrase_2char,3,"[""素世往后拽了一下，爱音的另一只手撑在池沿上借力。但两人都忘了刚刚"", ""素世往后拽了一下，爱音的另一只手撑在池沿上借力。但两人都忘了刚刚这个地方就是爱音滑倒的地方。""]","[""00:08:43.000"", ""00:08:44.000"", ""00:08:45.000""]",low,BV1SZJP6mEjy
UNKNOWN,态度,态度,phrase_2char,3,"[""祥子觉得这种态度比正面挑鲜更让人生气。直到"", ""祥子觉得这种态度比正面挑鲜更让人生气。直到爱音离世时，祥子才意识到对方已经变成了用来提醒自己的榜"", ""祥子觉得这种态度比正面挑鲜更让人生气。直到爱音离世时，祥子才意识到对方已经变成了用来提醒自己的榜样。""]","[""00:01:39.000"", ""00:01:40.000"", ""00:01:41.000""]",low,BV1SZJP6mEjy
UNKNOWN,意思,意思,phrase_2char,3,"[""不是你以为的那个意思！"", ""那你是什么意思呀？你们的学校不是不让带手机巴"", ""那你是什么意思呀？你们的学校不是不让带手机吗？有什么事情我们不可以回去再说嘛？""]","[""00:05:15.000"", ""00:05:18.000"", ""00:05:19.000""]",low,BV1SZJP6mEjy
UNKNOWN,我在,我在,phrase_2char,3,"[""所以我在想，小爱音，能不能请你来"", ""所以我在想，小爱音，能不能请你来假扮我的妈妈？""]","[""00:05:35.000"", ""00:05:36.000"", ""00:05:39.000""]",low,BV1SZJP6mEjy
UNKNOWN,所产,所产,phrase_2char,3,"[""祥子被问得很烦，因为爱音确实什么都没说。其奔跑所产生的动能冲击甚至不"", ""祥子被问得很烦，因为爱音确实什么都没说。其奔跑所产生的动能冲击甚至不像来自一个会病死的人。"", ""祥子被问得很烦，因为爱音确实什么都没说其奔跑所产生的动能冲击甚至不像来自一个会病死的人。""]","[""00:02:04.000"", ""00:02:05.000"", ""00:02:09.000""]",low,BV1SZJP6mEjy
UNKNOWN,所以,所以,phrase_2char,3,"[""所以我在想，小爱音，能不能请你来"", ""所以我在想，小爱音，能不能请你来假扮我的妈妈？""]","[""00:05:35.000"", ""00:05:36.000"", ""00:05:39.000""]",low,BV1SZJP6mEjy
UNKNOWN,手去,手去,phrase_2char,3,"[""素世不过爱音，只好让她接着去捡。爱音蹲下身，伸手去够那个硬币，它刚好滚到了池沿内侧一条"", ""素世不过爱音，只好让她接着去捡。爱音蹲下身，伸手去够那个硬币，它刚好滚到了池沿内侧一条窄缝里，非常不好拿。""]","[""00:07:38.000"", ""00:07:39.000"", ""00:07:40.000""]",low,BV1SZJP6mEjy
UNKNOWN,手指,手指,phrase_2char,3,"[""爱音的手指够了几次没够到"", ""爱音的手指够了几次没够到，往前又挪了半步。然后她发现自己踩到了池沿"", ""爱音的手指够了几次没够到，往前又挪了半步。然后她发现自己踩到了池沿上没干的水渍，鞋底一滑""]","[""00:07:43.000"", ""00:07:44.000"", ""00:07:45.000""]",low,BV1SZJP6mEjy
UNKNOWN,手撑,手撑,phrase_2char,3,"[""素世往后拽了一下，爱音的另一只手撑在池沿上借力。但两人都忘了刚刚"", ""素世往后拽了一下，爱音的另一只手撑在池沿上借力。但两人都忘了刚刚这个地方就是爱音滑倒的地方。""]","[""00:08:43.000"", ""00:08:44.000"", ""00:08:45.000""]",low,BV1SZJP6mEjy
UNKNOWN,把爱,把爱,phrase_2char,3,"[""祥子一直把爱音当做自己在学"", ""祥子一直把爱音当做自己在学校的宿敌，尽管爱音本人并没有意识到这一点。不过不知从什。"", ""祥子一直把爱音当做自己在学校的宿敌，尽管爱音本人并没有意识到这一点。不过不知从什么时候开始，祥子就在学习成绩上和爱音暗中较劲""]","[""00:01:25.000"", ""00:01:26.000"", ""00:01:27.000""]",low,BV1SZJP6mEjy
UNKNOWN,抽泣,抽泣,phrase_2char,3,"[""现场伴随着演讲和抽泣声"", ""现场伴随着演讲和抽泣声正常进行。在现场一个僻静冷清的角落里，一名少女毫不起眼"", ""现场伴随着演讲和抽泣声正常进行。在现场一个僻静冷清的角落里，一名少女毫不起眼地坐在末排座位上。""]","[""00:03:06.000"", ""00:03:07.000"", ""00:03:08.000""]",low,BV1SZJP6mEjy
UNKNOWN,拽了,拽了,phrase_2char,3,"[""素世往后拽了一下，爱音的另一只手撑在池沿上借力。但两人都忘了刚刚"", ""素世往后拽了一下，爱音的另一只手撑在池沿上借力。但两人都忘了刚刚这个地方就是爱音滑倒的地方。""]","[""00:08:43.000"", ""00:08:44.000"", ""00:08:45.000""]",low,BV1SZJP6mEjy
UNKNOWN,指够,指够,phrase_2char,3,"[""爱音的手指够了几次没够到"", ""爱音的手指够了几次没够到，往前又挪了半步。然后她发现自己踩到了池沿"", ""爱音的手指够了几次没够到，往前又挪了半步。然后她发现自己踩到了池沿上没干的水渍，鞋底一滑""]","[""00:07:43.000"", ""00:07:44.000"", ""00:07:45.000""]",low,BV1SZJP6mEjy
UNKNOWN,挑鲜,挑鲜,phrase_2char,3,"[""祥子觉得这种态度比正面挑鲜更让人生气。直到"", ""祥子觉得这种态度比正面挑鲜更让人生气。直到爱音离世时，祥子才意识到对方已经变成了用来提醒自己的榜"", ""祥子觉得这种态度比正面挑鲜更让人生气。直到爱音离世时，祥子才意识到对方已经变成了用来提醒自己的榜样。""]","[""00:01:39.000"", ""00:01:40.000"", ""00:01:41.000""]",low,BV1SZJP6mEjy
UNKNOWN,撑在,撑在,phrase_2char,3,"[""素世往后拽了一下，爱音的另一只手撑在池沿上借力。但两人都忘了刚刚"", ""素世往后拽了一下，爱音的另一只手撑在池沿上借力。但两人都忘了刚刚这个地方就是爱音滑倒的地方。""]","[""00:08:43.000"", ""00:08:44.000"", ""00:08:45.000""]",low,BV1SZJP6mEjy
UNKNOWN,教导,教导,phrase_2char,3,"[""这次真的不行，教导主任我"", ""这次真的不行，教导主任我带家长来见她"", ""刚骗完教导主任的人不准说这话，我要投币，今天运气太好""]","[""00:05:23.000"", ""00:05:24.000"", ""00:07:14.000""]",low,BV1SZJP6mEjy
UNKNOWN,无表,无表,phrase_2char,3,"[""绘里坐在哭得稀里哗啦的同学周围，全程面无表"", ""绘里坐在哭得稀里哗啦的同学周围，全程面无表情。她的脸上什么都看不出来，因为她和爱音一直保持"", ""绘里坐在哭得稀里哗啦的同学周围，全程面无表情。她的脸上什么都看不出来，因为她和爱音一直保持着不咸不淡的关系。""]","[""00:03:12.000"", ""00:03:13.000"", ""00:03:15.000""]",low,BV1SZJP6mEjy
UNKNOWN,是什,是什,phrase_2char,3,"[""那你是什么意思呀？你们的学校不是不让带手机巴"", ""那你是什么意思呀？你们的学校不是不让带手机吗？有什么事情我们不可以回去再说嘛？"", ""你这是什么扔法？投石问路吗？""]","[""00:05:18.000"", ""00:05:19.000"", ""00:07:26.000""]",low,BV1SZJP6mEjy
UNKNOWN,是因,是因,phrase_2char,3,"[""没有人知道她每天早上提前十分钟到教室，是因为爱音也那个时间到，两人可以在空荡的教室里独"", ""没有人知道她这次期中考试突然考进前五，是因为爱音之前随口说了一句"", ""没有人知道她这次期中考试突然考进前五，是因为爱音之前随口说了一句考进前五的人可以和她去参加同一个学习竞赛。""]","[""00:03:26.000"", ""00:03:31.000"", ""00:03:32.000""]",low,BV1SZJP6mEjy
UNKNOWN,是就,是就,phrase_2char,3,"[""不是就是正常的班"", ""不是就是正常的班主任谈话。但是我不想我妈妈因为我的事情担心。"", ""啊？不是就在那边吗？""]","[""00:05:30.000"", ""00:05:31.000"", ""00:08:29.000""]",low,BV1SZJP6mEjy
